epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92943,2.15479,7.47575,0.70724,3.78166,2.40245,0.68055,0.81081,0.82824,0.56833,0,0,0,0,1.01906,6.9616,0.72756,1.24257,1.54895,0.00018,0.00018,0.00018
2,6.22942,0.92918,6.72242,0.70655,1.17332,1.3506,0.97104,0.90638,0.96783,0.73098,0,0,0,0,0.80545,6.94062,0.76127,0.64814,1.47746,0.000376238,0.000376238,0.000376238
3,8.58035,0.68717,5.93033,0.75731,0.65105,1.15063,0.9455,1,0.995,0.7922,0,0,0,0,0.68703,6.65054,0.81722,1.04792,1.21082,0.000568516,0.000568516,0.000568516
4,10.5846,0.67883,5.29197,0.77952,0.58828,1.14872,0.83121,1,0.98356,0.80315,0,0,0,0,0.62954,6.47664,0.75055,1.24815,1.21764,0.000756834,0.000756834,0.000756834
5,12.6103,0.7767,4.85254,0.78226,0.63349,1.24418,0.7605,0.94406,0.90093,0.64994,0,0,0,0,0.80026,6.87548,0.83939,1.35784,1.4342,0.000941192,0.000941192,0.000941192
6,14.6949,0.7,4.61825,0.7669,0.61531,1.17954,0.57898,0.81081,0.68205,0.37593,0,0,0,0,1.07484,6.64163,0.91867,1.62491,1.61394,0.00112159,0.00112159,0.00112159
7,16.7326,0.69641,4.51003,0.7957,0.55567,1.085,0.65258,0.75676,0.77447,0.47253,0.16612,0.08108,0.04914,0.00564,1.05305,5.58433,1.20209,1.53593,1.64402,0.00129803,0.00129803,0.00129803
8,18.7296,0.70975,3.95774,0.77542,0.57982,1.19032,0.69598,0.86622,0.88897,0.61916,0.17818,0.18919,0.1057,0.01576,0.91789,5.25926,1.04838,1.97561,1.56875,0.00147051,0.00147051,0.00147051
9,20.677,0.66991,3.81434,0.78566,0.57755,1.13156,0.55481,0.78378,0.69556,0.45394,0.50456,0.51351,0.41262,0.08322,1.05119,4.94158,1.03642,2.33316,1.5906,0.00163902,0.00163902,0.00163902
10,22.6927,0.66883,3.58441,0.75069,0.62517,1.11545,0.65978,0.78378,0.79683,0.51122,0.14069,0.18919,0.05558,0.01252,1.30254,6.66459,0.75558,1.49374,1.9379,0.00180358,0.00180358,0.00180358
11,24.6227,0.66124,3.62829,0.72062,0.59585,1.1454,0.55374,0.73793,0.59782,0.37535,0.13255,0.16216,0.04706,0.00944,1.1202,5.21208,1.04204,2.62184,1.5167,0.001802,0.001802,0.001802
12,26.6811,0.63429,3.33388,0.73012,0.57605,1.10367,0.85035,0.92153,0.96707,0.71505,0.70215,0.78378,0.69694,0.15742,0.75094,4.04098,1.00874,1.33244,1.29132,0.0017822,0.0017822,0.0017822
13,28.7605,0.62779,3.21585,0.72696,0.53399,1.09176,1,0.9418,0.97629,0.79908,0.73672,0.67568,0.6534,0.19075,0.68291,3.9547,0.89696,1.15735,1.26131,0.0017624,0.0017624,0.0017624
14,30.7752,0.62997,2.97274,0.71114,0.51486,1.08057,0.92106,1,0.9853,0.80096,0.79961,0.86486,0.77415,0.18468,0.6989,4.05465,0.90855,0.94829,1.23267,0.0017426,0.0017426,0.0017426
15,33.0152,0.64948,2.99838,0.69764,0.50981,1.11096,0.92333,0.97653,0.98195,0.82181,0.87263,0.92594,0.91267,0.25226,0.66114,3.76472,1.00547,0.83568,1.14647,0.0017228,0.0017228,0.0017228
16,35.4876,0.63697,2.88028,0.69974,0.55759,1.13732,0.96624,1,0.98947,0.78233,0.83762,0.86486,0.81759,0.32277,0.74262,3.96589,0.92737,0.7527,1.21805,0.001703,0.001703,0.001703
17,37.8237,0.59963,2.5446,0.68982,0.49641,1.07144,0.96784,1,0.98868,0.83875,0.88925,0.91892,0.89574,0.35347,0.6308,3.80487,0.88972,0.52938,1.11709,0.0016832,0.0016832,0.0016832
18,40.1615,0.6128,2.64681,0.69143,0.48824,1.08121,0.87742,0.86486,0.93824,0.73688,0.8035,0.55283,0.56224,0.16421,0.79227,3.8904,0.86314,0.66074,1.31013,0.0016634,0.0016634,0.0016634
19,42.4311,0.5807,2.63437,0.68343,0.47905,1.03914,0.92275,0.96867,0.98352,0.81078,0.39072,0.35135,0.19204,0.04343,0.73842,3.97429,0.94766,0.58953,1.24751,0.0016436,0.0016436,0.0016436
20,44.6776,0.63864,2.77238,0.66533,0.52414,1.09574,0.99275,0.97297,0.98923,0.82253,0.90988,0.89189,0.90083,0.30509,0.65733,3.04705,0.8936,0.65336,1.19994,0.0016238,0.0016238,0.0016238
21,47.037,0.61641,2.3151,0.68026,0.49093,1.08299,0.94603,0.97297,0.98518,0.84784,0.9063,0.91892,0.92866,0.49078,0.59717,2.55385,0.90817,0.64456,1.12589,0.001604,0.001604,0.001604
22,49.7574,0.59893,2.28318,0.67141,0.50192,1.0907,0.97539,0.97297,0.9935,0.85501,0.9592,0.91892,0.94274,0.62018,0.53196,2.01614,1.00942,0.55216,1.09644,0.0015842,0.0015842,0.0015842
23,52.458,0.58263,2.0671,0.64128,0.44956,1.06867,0.95087,0.97297,0.98926,0.87163,0.91849,0.91382,0.93865,0.6702,0.46974,1.78626,0.94943,0.52906,1.09919,0.0015644,0.0015644,0.0015644
24,54.9439,0.68741,2.01313,0.65465,0.5888,1.2935,0.92242,0.9642,0.96759,0.80561,0.9366,0.89189,0.92237,0.68662,0.64481,1.62012,0.84466,0.64625,1.18557,0.0015446,0.0015446,0.0015446
25,57.1726,0.60727,2.19265,0.64225,0.48817,1.1009,0.86173,0.81081,0.92428,0.7767,0.88256,0.83784,0.90234,0.56903,0.60686,1.76999,0.81839,0.75638,1.17222,0.0015248,0.0015248,0.0015248
26,59.2463,0.57957,2.25743,0.6387,0.465,1.05765,0.9188,1,0.98977,0.85443,0.8688,0.94595,0.9348,0.63774,0.54847,1.97231,0.79034,0.50399,1.15083,0.001505,0.001505,0.001505
27,61.2547,0.59079,1.98805,0.62936,0.47123,1.05081,0.94818,0.98919,0.99181,0.84052,0.91704,0.91892,0.94264,0.62749,0.56551,1.7049,0.78887,0.50338,1.15821,0.0014852,0.0014852,0.0014852
28,63.3428,0.53829,1.71693,0.63429,0.45461,1.04715,0.92765,0.97297,0.97604,0.73084,0.72002,0.75676,0.66414,0.26012,0.81748,3.59552,0.67637,0.60585,1.40315,0.0014654,0.0014654,0.0014654
29,65.4085,0.57553,1.73705,0.60507,0.45159,1.07631,0.93047,0.94595,0.98503,0.81066,0.58013,0.59459,0.51668,0.19649,0.71114,3.84898,0.65735,0.52289,1.27207,0.0014456,0.0014456,0.0014456
30,67.4318,0.50755,1.61715,0.59801,0.42135,1.02121,0.84703,0.89807,0.95452,0.80634,0.7741,0.83361,0.81794,0.45426,0.65637,2.03541,0.72063,0.97591,1.16673,0.0014258,0.0014258,0.0014258
31,69.4374,0.507,1.38201,0.60954,0.43054,1.04322,0.88369,0.94595,0.97178,0.81629,0.78877,0.86486,0.8272,0.46905,0.61014,1.85026,0.72108,0.68872,1.1351,0.001406,0.001406,0.001406
32,71.8426,0.51226,1.68163,0.58616,0.4261,1.03055,0.94719,0.96955,0.97214,0.83856,0.89438,0.9155,0.86704,0.45368,0.60604,2.39573,0.76318,0.69677,1.14867,0.0013862,0.0013862,0.0013862
33,73.9037,0.53918,1.73976,0.59284,0.43216,1.01374,0.96299,0.94595,0.96427,0.78207,0.88,0.86486,0.84014,0.51509,0.66724,2.16024,0.72501,0.66922,1.18022,0.0013664,0.0013664,0.0013664
34,76.0168,0.54373,1.7061,0.61215,0.42254,1.02741,0.97021,0.88043,0.96306,0.80195,0.9109,0.82909,0.8475,0.51543,0.5493,2.00777,0.68507,0.77636,1.12296,0.0013466,0.0013466,0.0013466
35,77.9667,0.5335,1.93203,0.61158,0.43065,1.04318,0.99588,0.97297,0.99144,0.87108,0.94026,0.91892,0.90349,0.67538,0.52646,1.57068,0.68693,0.4745,1.08338,0.0013268,0.0013268,0.0013268
36,80.0896,0.55777,1.82101,0.60315,0.4449,1.05597,0.99826,1,0.995,0.88495,0.9094,0.89189,0.84951,0.64212,0.43719,1.81411,0.66604,0.36531,1.0136,0.001307,0.001307,0.001307
37,82.1213,0.53429,1.39653,0.58206,0.46433,1.04962,0.94828,0.99126,0.99181,0.88901,0.87843,0.89189,0.85332,0.70615,0.46486,1.86073,0.64451,0.38029,1.02709,0.0012872,0.0012872,0.0012872
38,84.1776,0.53628,1.31332,0.56637,0.40106,1.04701,0.97362,0.99738,0.99447,0.901,0.92086,0.9435,0.93442,0.74931,0.47694,1.08468,0.65675,0.34161,0.98936,0.0012674,0.0012674,0.0012674
39,86.217,0.51472,1.44913,0.5562,0.41557,1.05331,0.99479,0.97297,0.99447,0.89903,0.92076,0.94221,0.93151,0.75893,0.42769,1.1009,0.65137,0.32919,0.98727,0.0012476,0.0012476,0.0012476
40,88.2897,0.50515,1.53008,0.59207,0.39256,1.03521,0.99725,0.97297,0.9935,0.84817,0.94169,0.91892,0.91439,0.74001,0.45405,1.29674,0.64096,0.39452,1.02978,0.0012278,0.0012278,0.0012278
41,90.2516,0.47981,1.65298,0.57743,0.43662,1.00463,0.99994,0.97297,0.98487,0.81828,0.94381,0.91892,0.90609,0.69929,0.56992,1.47792,0.625,0.50944,1.11325,0.001208,0.001208,0.001208
42,92.2735,0.5079,1.89429,0.565,0.46684,1.03469,0.97181,0.93192,0.98438,0.8632,0.91559,0.87968,0.88281,0.74152,0.47693,1.50815,0.6106,0.5,1.0351,0.0011882,0.0011882,0.0011882
43,94.3047,0.52393,1.33724,0.57169,0.41622,1.02792,0.99901,0.94595,0.98222,0.88266,0.94127,0.89189,0.87822,0.8112,0.48565,1.32787,0.6256,0.49848,1.01593,0.0011684,0.0011684,0.0011684
44,96.3559,0.52829,1.38967,0.57739,0.41188,1.04713,0.99974,1,0.995,0.91505,0.94546,0.94595,0.92094,0.84571,0.46037,0.89336,0.61559,0.33251,0.97417,0.0011486,0.0011486,0.0011486
45,98.3768,0.49308,1.23471,0.56779,0.41426,1.01406,0.99794,1,0.995,0.9022,0.9437,0.94595,0.93958,0.86343,0.42603,0.70366,0.61249,0.32345,0.97891,0.0011288,0.0011288,0.0011288
46,100.418,0.49651,1.2951,0.54874,0.42739,1.05255,0.9914,0.97297,0.98588,0.88129,0.935,0.91892,0.91199,0.78944,0.48384,0.98723,0.6085,0.45628,1.01721,0.001109,0.001109,0.001109
47,102.363,0.47301,1.19225,0.54064,0.37935,0.98594,0.96868,0.97297,0.97644,0.87368,0.91486,0.91892,0.90544,0.76179,0.46325,1.35378,0.61657,0.61055,1.02138,0.0010892,0.0010892,0.0010892
48,104.408,0.50212,1.11462,0.54152,0.38883,1.02348,0.99741,0.97297,0.97946,0.88115,0.94182,0.91892,0.89782,0.80463,0.44413,1.32156,0.57603,0.56118,0.98875,0.0010694,0.0010694,0.0010694
49,106.401,0.46531,0.98079,0.56262,0.36585,0.9982,0.99797,0.97297,0.99221,0.89468,0.94253,0.91892,0.93016,0.84287,0.44668,1.04269,0.55967,0.45402,1.00016,0.0010496,0.0010496,0.0010496
50,108.463,0.4823,1.51318,0.55591,0.45306,0.96975,1,0.99663,0.995,0.88535,0.97397,0.91892,0.94758,0.87739,0.43629,0.94006,0.56873,0.35211,0.99328,0.0010298,0.0010298,0.0010298
51,110.497,0.50742,1.23309,0.54509,0.3912,1.02517,0.99608,1,0.995,0.89933,0.97819,0.91892,0.94738,0.87461,0.40146,0.89146,0.572,0.32542,0.98012,0.00101,0.00101,0.00101
52,112.589,0.44952,1.18534,0.53971,0.35611,0.99428,0.97211,1,0.995,0.90526,0.91938,0.94595,0.94741,0.92941,0.47881,0.70662,0.55119,0.40775,1.0078,0.0009902,0.0009902,0.0009902
53,114.626,0.48653,0.96906,0.53871,0.37072,1.00722,0.9698,1,0.99447,0.90266,0.9173,0.94595,0.94175,0.91749,0.44787,0.70931,0.53167,0.33278,0.99715,0.0009704,0.0009704,0.0009704
54,116.69,0.50715,1.32348,0.54314,0.39962,1.02408,0.99802,1,0.995,0.91042,0.94402,0.94595,0.93331,0.91014,0.42586,0.70638,0.50351,0.30846,0.97102,0.0009506,0.0009506,0.0009506
55,118.744,0.48618,1.18892,0.53206,0.37394,1.02413,0.99982,1,0.995,0.90053,0.94557,0.94595,0.93734,0.88936,0.46325,0.72027,0.5118,0.32389,0.98458,0.0009308,0.0009308,0.0009308
56,120.828,0.46032,1.23702,0.52991,0.39009,1.03127,0.9736,0.99671,0.99447,0.90035,0.9208,0.94273,0.94538,0.90406,0.41945,0.71757,0.52316,0.29952,0.97723,0.000911,0.000911,0.000911
57,122.853,0.46389,1.1823,0.5443,0.36836,0.99624,0.99933,1,0.995,0.91284,0.94511,0.94595,0.93735,0.91431,0.415,0.70066,0.53079,0.2958,0.97879,0.0008912,0.0008912,0.0008912
58,124.881,0.4573,1.09547,0.50721,0.3966,0.98492,1,0.99941,0.995,0.91132,0.94592,0.9455,0.91894,0.85273,0.45293,0.92075,0.53259,0.322,1.01678,0.0008714,0.0008714,0.0008714
59,126.875,0.42212,1.02133,0.53947,0.34542,0.9738,1,0.99871,0.995,0.90442,0.94588,0.94476,0.94006,0.85706,0.4605,1.03362,0.55441,0.33395,1.00031,0.0008516,0.0008516,0.0008516
60,128.901,0.45162,1.37292,0.52377,0.36442,0.99906,1,0.99857,0.995,0.8863,0.94223,0.91892,0.9105,0.85104,0.50701,1.10613,0.55658,0.3882,1.05169,0.0008318,0.0008318,0.0008318
61,130.919,0.45077,1.00325,0.48425,0.37643,1.00022,1,0.9979,0.995,0.8948,0.94254,0.91892,0.90365,0.83495,0.5106,1.16136,0.53778,0.39605,1.04658,0.000812,0.000812,0.000812
62,132.98,0.4267,0.92056,0.49388,0.36786,0.98337,0.9977,0.97297,0.99447,0.90442,0.94221,0.91892,0.93529,0.82746,0.42335,1.04604,0.50588,0.35194,0.98066,0.0007922,0.0007922,0.0007922
63,135.03,0.40566,1.04561,0.49302,0.34518,0.97066,0.9976,0.97297,0.99447,0.92214,0.94212,0.91892,0.9323,0.80762,0.42212,1.01072,0.48353,0.35988,0.96697,0.0007724,0.0007724,0.0007724
64,137.083,0.43454,1.07545,0.52877,0.38191,0.97792,1,0.99804,0.995,0.90222,0.94218,0.91892,0.89903,0.85284,0.42473,0.84215,0.45988,0.3257,0.94942,0.0007526,0.0007526,0.0007526
65,139.083,0.45528,0.97739,0.52927,0.36665,1.00496,0.99916,1,0.995,0.92014,0.94497,0.94595,0.93953,0.88392,0.40202,0.76679,0.4584,0.29898,0.94327,0.0007328,0.0007328,0.0007328
66,141.148,0.43702,0.91142,0.51833,0.34569,0.97328,0.99785,1,0.995,0.92452,0.94346,0.94595,0.94779,0.89274,0.40713,0.85426,0.4708,0.3059,0.96008,0.000713,0.000713,0.000713
67,143.13,0.42109,0.75407,0.4887,0.40678,0.98032,1,0.9982,0.995,0.91761,0.94586,0.94435,0.94794,0.9068,0.4283,0.85369,0.48079,0.30936,0.96303,0.0006932,0.0006932,0.0006932
68,145.177,0.39615,0.991,0.49942,0.35524,0.97378,1,0.99821,0.995,0.90851,0.94585,0.94419,0.94645,0.91762,0.40701,0.82976,0.46978,0.34257,0.95886,0.0006734,0.0006734,0.0006734
69,147.195,0.86198,1.47794,0.52939,0.91897,1.39803,1,0.99812,0.995,0.90537,0.9427,0.91892,0.91957,0.90311,0.42331,0.80216,0.45176,0.39591,0.97437,0.0006536,0.0006536,0.0006536
70,149.201,0.44021,1.27098,0.50009,0.3645,0.98879,0.99804,0.97297,0.98845,0.90795,0.9426,0.91892,0.92059,0.89017,0.39946,0.86416,0.44675,0.51107,0.95488,0.0006338,0.0006338,0.0006338
71,151.2,0.40456,1.20871,0.51177,0.35081,0.96622,0.99811,0.97297,0.98304,0.90115,0.94262,0.91892,0.92972,0.87113,0.39984,0.99763,0.45115,0.51602,0.96692,0.000614,0.000614,0.000614
72,153.234,0.41598,0.8905,0.48552,0.33594,0.97883,0.99808,0.97297,0.98371,0.89875,0.9668,0.91892,0.92044,0.85669,0.45464,1.18216,0.45578,0.60677,0.99345,0.0005942,0.0005942,0.0005942
73,155.419,0.39104,0.94668,0.49171,0.33296,0.96435,0.9981,0.97297,0.98331,0.90237,0.9426,0.91892,0.92021,0.88923,0.43778,1.05267,0.45253,0.52238,0.98474,0.0005744,0.0005744,0.0005744
74,157.657,0.42057,0.88658,0.48107,0.33393,0.96665,0.99865,0.97297,0.98951,0.92236,0.94308,0.91892,0.93389,0.88636,0.42557,0.92628,0.45726,0.47687,0.96334,0.0005546,0.0005546,0.0005546
75,159.738,0.39353,0.80297,0.50254,0.31601,0.95035,0.99776,0.97297,0.99447,0.91787,0.94229,0.91892,0.94892,0.91037,0.3992,0.75722,0.4599,0.39773,0.95691,0.0005348,0.0005348,0.0005348
76,161.921,0.40433,0.84564,0.49478,0.35523,0.98414,1,0.99951,0.995,0.90823,0.94593,0.9457,0.95348,0.91405,0.41782,0.81468,0.47527,0.36219,0.96439,0.000515,0.000515,0.000515
77,164.114,0.39414,0.98675,0.49761,0.3349,0.96335,1,0.99815,0.995,0.91164,0.99505,0.91892,0.95299,0.91819,0.41445,0.86008,0.48125,0.37465,0.95699,0.0004952,0.0004952,0.0004952
78,166.31,0.39794,0.96184,0.4961,0.3337,0.96784,0.99911,0.97297,0.99397,0.91224,0.99245,0.91892,0.94872,0.91341,0.40184,0.88767,0.47766,0.4131,0.94356,0.0004754,0.0004754,0.0004754
79,168.43,0.38837,0.80799,0.48901,0.30819,0.9613,0.99856,0.97297,0.9935,0.9149,0.99171,0.91892,0.92556,0.91511,0.40656,0.91153,0.46794,0.43317,0.93715,0.0004556,0.0004556,0.0004556
80,170.643,0.42572,0.85327,0.47694,0.36174,0.94957,0.99793,0.97297,0.98754,0.91293,0.96474,0.91892,0.92578,0.91201,0.38011,0.9198,0.45068,0.48638,0.92584,0.0004358,0.0004358,0.0004358
81,172.79,0.38295,0.85233,0.45911,0.31253,0.95045,0.99795,0.97297,0.98287,0.9131,0.96065,0.91892,0.92578,0.90906,0.37045,0.98339,0.44888,0.53137,0.92382,0.000416,0.000416,0.000416
82,174.895,0.37046,0.94765,0.49782,0.32747,0.93861,0.99792,0.97297,0.98381,0.91785,0.98104,0.91892,0.92409,0.88228,0.36897,0.95306,0.42223,0.49997,0.92728,0.0003962,0.0003962,0.0003962
83,177.136,0.36262,0.79012,0.45023,0.28565,0.94795,0.99444,0.97297,0.98798,0.92229,0.9829,0.91892,0.9392,0.87335,0.39492,0.89963,0.40866,0.47997,0.94355,0.0003764,0.0003764,0.0003764
84,180.005,0.35978,0.71438,0.47215,0.29965,0.94009,0.9893,0.97297,0.9887,0.92551,0.97577,0.91892,0.94067,0.89891,0.38847,0.78989,0.40852,0.47125,0.93677,0.0003566,0.0003566,0.0003566
85,182.901,0.41121,0.92395,0.49335,0.31385,0.96934,0.98899,0.97297,0.98923,0.92534,0.9723,0.91892,0.94184,0.90693,0.3761,0.75434,0.41033,0.45963,0.92918,0.0003368,0.0003368,0.0003368
86,185.735,0.36688,0.67247,0.47145,0.29578,0.94933,0.99625,0.97297,0.99144,0.92556,0.94365,0.91892,0.94407,0.9018,0.37349,0.70299,0.40386,0.43123,0.92747,0.000317,0.000317,0.000317
87,188.273,0.3894,0.76409,0.46624,0.31044,0.96998,0.99843,0.97297,0.99221,0.92368,0.94383,0.91892,0.9424,0.88009,0.37417,0.75573,0.41027,0.41924,0.92371,0.0002972,0.0002972,0.0002972
88,190.805,0.3747,0.7883,0.48152,0.34388,0.95566,0.99835,0.97297,0.99262,0.93198,0.94288,0.91892,0.94095,0.881,0.35555,0.8158,0.41909,0.42187,0.91133,0.0002774,0.0002774,0.0002774
89,193.271,0.36378,0.71932,0.46125,0.2909,0.94692,0.99837,0.97297,0.99144,0.93255,0.94288,0.91892,0.93441,0.88347,0.33077,0.8241,0.42317,0.4385,0.89858,0.0002576,0.0002576,0.0002576
90,196.065,0.36357,0.592,0.45083,0.30667,0.94751,0.99833,0.97297,0.9901,0.93311,0.94287,0.91892,0.91958,0.89151,0.34827,0.83775,0.41955,0.44838,0.90625,0.0002378,0.0002378,0.0002378
91,218.753,0.31591,0.55979,0.45448,0.29965,0.91783,0.99823,0.97297,0.99042,0.93113,0.94307,0.91892,0.93533,0.89121,0.35183,0.76925,0.41243,0.41024,0.90936,0.000218,0.000218,0.000218
92,221.281,0.359,0.51763,0.44374,0.35611,0.98559,0.99816,0.97297,0.99262,0.93014,0.94271,0.91892,0.93963,0.91006,0.35268,0.7218,0.38436,0.3527,0.91751,0.0001982,0.0001982,0.0001982
93,223.67,0.30454,0.48652,0.37721,0.25485,0.9338,0.99812,0.97297,0.99447,0.9377,0.94266,0.91892,0.94423,0.91077,0.34579,0.72318,0.36868,0.33453,0.91209,0.0001784,0.0001784,0.0001784
94,226.016,0.32228,0.55784,0.37776,0.26245,0.92858,0.99744,0.97297,0.99447,0.92464,0.94442,0.91892,0.9453,0.92256,0.36402,0.73055,0.35587,0.32268,0.91925,0.0001586,0.0001586,0.0001586
95,228.117,0.40652,0.3966,0.43133,0.41011,1.0306,1,0.99813,0.995,0.91841,0.94585,0.94421,0.94617,0.91268,0.37292,0.71429,0.35044,0.31006,0.91795,0.0001388,0.0001388,0.0001388
96,230.27,0.29591,0.48471,0.32258,0.23881,0.89371,1,0.99969,0.995,0.93011,0.94594,0.94588,0.94889,0.91497,0.37749,0.66013,0.33886,0.29141,0.91618,0.000119,0.000119,0.000119
97,232.593,0.29844,0.45171,0.33325,0.23379,0.89618,1,0.99963,0.995,0.93757,0.94594,0.94579,0.94991,0.92491,0.37094,0.63462,0.33027,0.28619,0.91134,9.92e-05,9.92e-05,9.92e-05
98,234.85,0.27806,0.36621,0.33991,0.24073,0.91515,1,0.99942,0.995,0.93603,0.94592,0.94548,0.95197,0.93488,0.36337,0.60864,0.31857,0.27676,0.907,7.94e-05,7.94e-05,7.94e-05
99,237.009,0.28994,0.50201,0.33577,0.23897,0.90121,1,0.99926,0.995,0.93411,0.94591,0.94532,0.95224,0.93765,0.35871,0.59481,0.31053,0.27874,0.90443,5.96e-05,5.96e-05,5.96e-05
100,239.183,0.28641,0.32235,0.34806,0.22658,0.91373,1,0.99907,0.995,0.93296,0.9459,0.94511,0.9541,0.93776,0.35932,0.5911,0.30699,0.29033,0.90455,3.98e-05,3.98e-05,3.98e-05
